ID,zh-CN (原文),en-US (译文)
7e436557-adf4-4b58-9239-e94e14dc136d,Sheet1,Sheet1
76fcff44-7a25-4a36-9f21-641fcef9b265,咖啡加点糖,Add Some Sugar to the Coffee
1a3e064c-239f-4e4d-b09a-e17659c4328e,女频,Female-Oriented
7cdb9a9d-507b-4262-9af4-22f23197d05f,"神秘人李元硕，为了给昏迷不醒的儿子报仇，特重金雇佣了国际赏金猎人——李明哲去折磨伤害他儿子的女人甯佳，因为李元硕并不知道儿子是一厢情愿的事实，怀恨久已的李元硕开始他的报复行动——要让甯佳尝尝被所爱之人抛弃的悲伤。
真相是李元硕的儿子疯狂追求甯佳，甯佳委婉拒绝了。珺妍怕李元硕儿子纠缠甯佳，撒谎说，甯佳已经订婚了。李元硕儿子听到珺妍的话心情低落。在过马路的时候，不幸被车撞伤，至今躺在医院未醒，虽然不是甯佳所伤，但是要不是她，李元硕的儿子不会遇到车祸。
一个天生拥有资源懂得人性的男人，自然而然的会把每一个女人看成自己的猎物，在目的的驱使下接近女人，但往往高级的猎人都是以猎物的形态出现的......最后谁赢了？","The mysterious Li Yuanshuo, determined to avenge his comatose son, spends a fortune hiring an international bounty hunter—Li Mingzhe—to torment Ning Jia, the woman he believes harmed his son. Unaware that his son's feelings were one-sided, Li Yuanshuo sets his long-brewing retaliation in motion—to make Ning Jia taste the sorrow of being abandoned by the one she loves.

The truth is that Li Yuanshuo's son pursued Ning Jia obsessively, and she turned him down tactfully. Afraid he would keep harassing her, Junyan lied that Ning Jia was already engaged. Hearing this, the son was devastated. While crossing the street, he was hit by a car and has remained unconscious in the hospital ever since. Although Ning Jia did not injure him, Li Yuanshuo believes that if not for her, his son would never have been in that accident.

A man born with resources and a keen grasp of human nature will instinctively treat every woman as prey, drawing close with an agenda—yet the best hunters often appear in the guise of prey... In the end, who wins?"
6f315924-09cb-42b7-a320-6fc313e04c14,寒门小书生,The Humble Young Scholar
05691a3a-4d2e-41c1-8dde-dc95d052747f,男频,Male-Oriented
cb2faeea-9748-4959-9d8c-8b15544769ad,身为理工男的王宇被拜金女抛弃后发生了车祸，意外穿越到大康王朝迷糊间醒来，发现自己躺在一间茅草屋内。此时的大康人丁凋敝，为了增加人口，村长召集村里的未婚壮丁进行选妻，王宇对李兮若一见钟情，两人成为夫妻，但是前身是败家子的王宇却一贫如洗，恰逢恶霸刘有财前来讨债，王宇凭借后世丰富的经验，不断发家致富，带领村民与恶霸刘有财，恶少刘建业斗智斗勇，发明了一系列新颖的产品和政策，改变了大康的国运,"After being dumped by a gold-digging girlfriend, engineering-minded Wang Yu gets into a car accident and unexpectedly transmigrates to the Great Kang Dynasty. Waking up in a daze, he finds himself lying in a thatched hut. With the population dwindling, the village chief gathers the unmarried able-bodied men to choose wives in order to increase births. Wang Yu falls in love with Li Xiruo at first sight, and the two become husband and wife. But the original Wang Yu was a spendthrift, leaving them penniless. Just then, the local bully Liu Youcai arrives to collect debts. Relying on his knowledge from the future, Wang Yu builds wealth step by step, leading the villagers in a battle of wits and courage against Liu Youcai and the spoiled young master Liu Jianye. He develops a series of novel products and policies that ultimately change the fate of Great Kang."
f423bde7-7dfd-4122-b815-6e190bf5e6b8,霸总的泼天富贵,The CEO's Windfall Fortune
a32f4859-66c5-4ed8-bd72-c28156a5d2cd,男频,Male-Oriented
1abe3708-7785-40ca-935b-c3a95fe23836,凌氏与上官家族订婚宴上，凌霄被杀手刺杀倒在血泊中，在一阵眩光后，凌霄穿越回到了5年前的慈善晚会上，但是不巧的是穿越到的是平行世界，那个世界的凌霄是个公认的废材，私生子凌云目前掌管着凌氏集团的各个项目，就在凌云和文旅项目负责人唐德谈话时，凌霄阻止了项目进程，并且预言了项目会迁址。凌霄一回到凌氏集团就开始整顿公司风气，把公司蛮横的关系户都逐出公司，这一次将重建凌公子的雄风。,"At the engagement banquet of the Ling and Shangguan families, Ling Xiao is assassinated and collapses in a pool of blood. After a flash of blinding light, he travels back five years to a charity gala—only to discover he has landed in a parallel world, where this Ling Xiao is a notorious good-for-nothing. The illegitimate son Ling Yun currently controls the Ling Group's projects. While Ling Yun is speaking with Tang De, the person in charge of the cultural tourism project, Ling Xiao halts the project and predicts it will have to be relocated. Returning to the Group, Ling Xiao begins cleaning up the corporate culture, driving out the domineering well-connected insiders. This time, he will rebuild Young Master Ling's former glory."
49873e31-cb4c-42cc-a79c-4c07d175fe00,白日偷欢总裁又野又欲,Stealing Pleasure in Broad Daylight: The CEO Is Wild and Wanton
5d2b2d3c-723a-49c7-9d43-b8180c07f761,女频,Female-Oriented
3e1f6a37-52ad-4ec4-b94c-cd1b8b0edf9e,夏谨微因为爱慕季司辰，以和季司辰结婚为条件答应给季司辰的白月光顾瑶瑶捐肾，本以为结了婚就可以和季司辰绑在一起，但随后而来的是父亲离去，被迫捐肾等痛苦，夏谨微痛苦抽离时，季司辰却对夏谨微的感情发生了变化。,"Out of love for Ji Sichen, Xia Jinwei agrees to donate a kidney to Gu Yaoyao—Ji Sichen's first love—on the condition that Ji Sichen marries her. She believes marriage will bind them together, but what follows are hardships: her father's passing, the forced kidney donation, and more. As Xia Jinwei struggles to pull herself out of the pain, Ji Sichen's feelings toward her begin to change."
1b3975a7-700b-4205-a087-7239e4f94b92,穿到古代抢太子,Transmigrated to Ancient Times to Steal the Crown Prince
a3d0d16c-bba9-49f4-9e32-130900c7a5eb,男频,Male-Oriented
4e9fa756-aac3-4d35-b230-96fded342623,保安穿越古代废材太子张标，面对嫔妃与下人私通，他雷厉风行，用穿越一起带来的电棍解决下人，正欲对付嫔妃，皇后竟出现，带着打手想要先发制人，让自己这个太子背上莫须有的罪名，张标不再忍让，用电棍打败众人。可皇后一计不成，竟联合上柱国齐泰迷晕皇上，想要废了张标这个太子，危急之时，皇上醒来，屏退众人，垂问张标治国良方，以考验他。张标语出惊人，得以掌控朝中大全，他雷厉风行，抄没四大粮商，赈济灾民，正式与上柱国齐泰对抗。,"A security guard transmigrates into the ancient era as Zhang Biao, the ""useless"" crown prince. Confronted with a concubine having an affair with a servant, he acts decisively, using the electric baton that came with him through time to deal with the servant. Just as he is about to go after the concubine, the Empress appears with thugs, trying to strike first and pin fabricated charges on him. Zhang Biao refuses to back down and defeats them with the baton. When the Empress's scheme fails, she joins forces with the Pillar of the State, Qi Tai, to drug the Emperor, intending to depose Zhang Biao. At the critical moment, the Emperor awakens, dismisses everyone, and questions Zhang Biao on how to govern the realm as a test. Zhang Biao's startling answers win him real power at court. He moves swiftly, confiscates the assets of four major grain merchants, provides disaster relief, and formally takes the fight to Qi Tai."
4ea8cb8e-d0c4-4504-aad3-c75d79b92eae,嫡女重生权臣的掌心宠,Reborn Legitimate Daughter: The Powerful Minister's Darling
fc11e714-75f2-4ece-a553-ee3d00c60c1b,女频,Female-Oriented
079fe123-4055-4b7b-9b57-c3db8a1d34f9,前世柳如湘19岁嫁入将军府，在新婚夜就收到了夫君的死讯，一个人辛苦经营者整个家族，还被婆婆百般刁难，后得知夫君竟是假死，重生后开始真正做自己，与严沐最终走到一起,"In her previous life, Liu Ruxiang married into the General's Residence at nineteen, only to receive news of her husband's death on their wedding night. She struggled alone to keep the entire household afloat, enduring constant torment from her mother-in-law, only to learn later that her husband had faked his death. Reborn, she finally chooses to live for herself—and in the end, she and Yan Mu find their way to each other."
0967c260-6a16-412e-a03f-8fc819dafd11,巅峰对决之干碎龙王,Ultimate Showdown: Crushing the Dragon King
e4e273ff-8854-46a2-a694-0ea9a1af26af,男频,Male-Oriented
7ac331fe-022e-420c-83f4-ebf448993e0e,富二代顾少霆被前妻和龙王设计套走家产致死，重生之后开启了追击龙王之路。联合凤王，麒麟王彻底颠覆了龙王一手遮天的挑战，在这其中也付出了巨大的代价。但也收货了自己的爱情。,"Second-generation rich heir Gu Shaoting is set up by his ex-wife and the Dragon King, who swindle him out of his family fortune and drive him to death. Reborn, he embarks on a relentless pursuit of the Dragon King. Joining forces with the Phoenix King and the Qilin King, he overturns the Dragon King's one-man domination—at a tremendous cost. Yet he also finds his own love along the way."
dd93e89e-1e05-43d7-9849-ec0ab6bf9ded,顶流少奶奶又美又飒,The Top Star's Young Madam: Beautiful and Dashing
538a48d7-17f4-423d-8706-70c928a4e101,女频,Female-Oriented
86b73d08-1a53-4c99-82a1-935ad4f9db2e,清白被神秘男人夺走，她被父亲赶出门，五年后，她带着儿子低调回归,"Her Innocence Was Taken by a Mysterious Man; Cast Out by Her Father, She Returns Low-Key with Her Son Five Years Later"
b36ad394-6177-4200-824b-70d27b629b4d,极道战神之斗皇觉醒,The Ultimate Battle God: The Battle Emperor Awakens
34ca6f9e-25f5-4d2d-8815-9c461b77e07a,男频,Male-Oriented
9f579c6b-724a-45ea-b067-d1550e79a9d2,斗皇冷无道出狱后，遇到大小姐沈情，一步步帮助她化解前进道路上的困难，，最终走到一起,"After the Battle Emperor Leng Wudao is released from prison, he meets the heiress Shen Qing. Step by step, he helps her resolve the obstacles on her path forward, and the two ultimately end up together."
bb867608-59ed-4c9f-a1f6-3132f53944e5,撩完就跑 宁小姐不想负责,Flirt and Run: Miss Ning Doesn't Want to Take Responsibility
51090eb9-776d-48bf-ae9e-b003702eecb0,女频,Female-Oriented
fe8d3944-a5e3-4ebe-8cff-cd6e1e298b75,三年前，宁熙和裴轻寒分手，并且打掉了孩子。曾经的文艺女神一朝陨落，被贴上拜金、世俗、恶毒等等标签。三年后重逢，裴轻寒是收购她公司的大老板，而她只是为生计奔波的小销售。一纸调令，宁熙被调去集团总部，直属上司还是大老板的“绯闻女友”，她只能使出三头六臂在夹缝中求生存。可随着裴轻寒步步逼近，她藏了好久的秘密终于包不住了。裴轻寒做梦也没想到，那个被“打掉的孩子”，竟然会死而复生，抱着他叫爸爸,"Three years ago, Ning Xi broke up with Pei Qinghan and had the baby aborted. The former goddess of arts and literature fell from grace overnight, branded with labels like gold-digger, worldly, vicious, and more. Three years later, they meet again: Pei Qinghan is the powerful boss who has acquired her company, while she is merely a small-time saleswoman scrambling to make a living. With a transfer order, Ning Xi is sent to the group's headquarters—where her direct supervisor turns out to be the boss's rumored girlfriend. She can only fight for survival in the cracks. But as Pei Qinghan presses closer step by step, the secret she has hidden for so long can no longer be contained. Pei Qinghan never imagined in his wildest dreams that the ""aborted child"" would come back from the dead—clinging to him and calling him Dad."
2e38a084-bd22-4a97-b8e6-309a4c0c8caf,那一世情仇,Love and Hatred in That Lifetime
6464a616-28d3-4c60-9226-b4aa12a926c3,女频,Female-Oriented
64079ceb-c0c6-482c-b5ce-e6cd902edbfd,顾芊芊突然发现自己以为的好姐妹和好老公都为了钱在骗自己，意外死亡后发现死对头居然一直暗恋自己，看她逆风翻盘，最终爱情事业双丰收。,"Gu Qianqian suddenly discovers that the best friend and loving husband she trusted have both been deceiving her for money. After an accidental death, she learns that her nemesis has been secretly in love with her all along. Watch her turn the tables against the odds and ultimately achieve a double harvest of love and career success."
f6ce14cd-c4ed-4105-8144-82dbe483384c,你的世界我做主,I Call the Shots in Your World
ec52e8e8-0e16-4c0c-9544-255141bfe036,女频,Female-Oriented
78657ab3-bd2f-488c-adf7-eab7394c1864,孙薇一直觉得自己生活的世界有BUG，事实上孙薇的猜测是正确的，她活在漫画世界里，而她发现的那些BUG，是因为漫画作者改了原先的设定。由于孙薇苏醒了自我意识，导致她找到了世界之门，穿越到了现实世界中，认识了她的造物主，漫画作者李洋，由此开展了一段动人心魄的别样旅程。,"Sun Wei has always felt there was a bug in the world she lives in. As it turns out, her suspicion is correct: she lives inside a comic book, and the ""bugs"" she notices exist because the comic's author revised the original settings. When Sun Wei awakens self-awareness, she finds the door to the world, crosses into the real world, and meets her creator—the comic artist Li Yang—thus beginning a breathtaking journey unlike any other."
75e976bb-c64b-4d27-87ee-f7a8842b3216,逆袭成了富豪,A Turnaround into a Tycoon
db395aea-b33a-4d06-9e8e-a69c2aa0a916,男频,Male-Oriented
1911da3e-f6a5-45ec-b350-fb20b7a3e094,长林集团总裁李长林被副总裁马天成下药毒死，穿越到了农村青年李小林身上，即将成为村霸陶海的女婿。就在婚礼即将走到最后一步时，身为青梅竹马的李明月跳出来，中断了这场入赘的闹剧。同时，李长林从电视上的得知，害死自己得的马天成当上了长林集团的董事长，重活一世的李长林发誓报仇。,"Li Changlin, CEO of Changlin Group, is poisoned to death by vice president Ma Tiancheng. He transmigrates into Li Xiaolin, a rural young man who is about to marry into the family of the village tyrant Tao Hai. Just as the wedding is about to reach its final step, Li Mingyue—his childhood sweetheart—bursts in and interrupts the farcical live-in son-in-law marriage. Meanwhile, Li Changlin learns from the news on TV that Ma Tiancheng, the man who killed him, has become chairman of Changlin Group. Given a second chance, Li Changlin swears revenge."
1940625f-4ac6-4a75-9c53-f146350f3974,回到古代送外卖,Delivering Takeout Back in Ancient Times
b5b8f9e0-a9b9-4391-a502-8b24d87b9ff6,男频,Male-Oriented
090cfbb0-eedc-4163-8e01-b0364e2a4318,外卖小哥小帅穿越到了传说中的女儿国，未见过男人的女儿国将军月色对小帅的身体展开了奇妙的探索，最后将小帅上交给了国王。国王根据唐僧的古老传说判断男人是女儿国的灾星，决定处死小帅，但在宰相花容的据理力争之下，留下了一条小命，小帅从此便假扮成了女人生活在女儿国中，遭遇了一系列令人啼笑皆非的故事。,"Delivery rider Xiao Shuai transmigrates to the legendary Kingdom of Women. General Yue Se, from a land that has never seen a man, begins a curious exploration of his body, and ultimately hands him over to the Queen. Drawing on the ancient legend of Tang Sanzang, the Queen concludes that men are a harbinger of disaster and orders Xiao Shuai executed. But thanks to Chancellor Hua Rong's reasoned defense, his life is spared. From then on, Xiao Shuai disguises himself as a woman and lives in the Kingdom of Women, stumbling into a series of hilarious misadventures."
5affd009-c250-4bcd-82ca-7973587ffa7e,偏要嫁给你,I Insist on Marrying You
554dfef9-85c0-4815-ba1d-eaa0c1f46ba3,女频,Female-Oriented
bded6b71-dad4-46f9-bf12-d4d4cc560876,沈敬身为玉清门大师兄却始终无法修炼功法，即将入赘给玉虚门的公主。此时却遇上明月宫少主萧林昆上门砸场，沈敬被神秘光球击中，觉醒了神功，救下了师妹轻舞。两人结伴去往玉虚门提亲，路上却遇到邪教杀生，沈敬和轻舞就此卷入一场阴谋之中。,"Shen Jing, the senior disciple of the Yuqing Sect, has never been able to cultivate and is about to marry into the Yuuxu Sect as the consort of its princess. At this moment, Xiao Linkun, the young master of Mingyue Palace, arrives to smash the place. Shen Jing is struck by a mysterious orb of light, awakens a divine skill, and saves his junior sister Qingwu. The two travel together to the Yuuxu Sect to propose marriage, but on the way they encounter the demonic cult's killing spree. Shen Jing and Qingwu are drawn into a conspiracy."
9498418b-e181-45a8-a654-5de7002cebff,妻子变成大佬,My Wife Became a Big Shot
b8f82f40-c311-4d75-962a-2b852ca5adc3,男频,Male-Oriented
41c4feec-86f0-4db3-8f75-2a88888f4168,六年前，李薇和萧晨风还是一对恩爱的夫妻，直到萧晨风的老友安然回国，安然的伪装出一幅善良的面孔，和李薇成为了朋友，暗中却谋划除掉李薇上位。不久，李薇怀孕，萧晨风却被医生告知李薇肚子里的孩子并不存在血缘关系，李薇就此打入冷宫，萧晨风与安然渐渐眉来眼去。六年后，李薇的儿子小睿白血病病危，只有萧晨风的骨髓能救他，为了讨好萧晨风，李薇不得不向安然低下了头，在相处中，却逐渐接近亲生儿子变绿帽的真相。,"Six years ago, Li Wei and Xiao Chenfeng were still a loving couple—until Xiao Chenfeng's old friend An Ran returned. Wearing a façade of kindness, An Ran became friends with Li Wei while secretly plotting to eliminate her and take her place. Soon after, Li Wei became pregnant, but Xiao Chenfeng was told by a doctor that the child in her womb was not biologically related to him. Li Wei was relegated to the cold palace, while Xiao Chenfeng and An Ran grew increasingly intimate. Six years later, Li Wei's son, Xiao Rui, is critically ill with leukemia, and only Xiao Chenfeng's bone marrow can save him. To win Xiao Chenfeng over, Li Wei is forced to bow her head to An Ran. In the course of their entanglement, she gradually closes in on the truth behind the humiliating ""cuckold"" paternity scandal."
e13e7d13-010a-486d-9fe4-51d90d3d7fa0,妻子的逆袭,The Wife's Comeback
0aba8ec1-7c35-48ba-91f6-4d729a2043dc,女频,Female-Oriented
bcec6121-01fa-4958-8b8f-1e2ddc731d5b,江家大小姐江绾为傅氏集团总裁傅司宴生下了一个女儿傅星洲，却在出生时被自己的妹妹——江家养女江曼偷去，变成了江曼的女儿。傅司宴为了救治傅星洲的白血病，强迫江绾怀上了第二个孩子，可江曼担心江绾生下一个健康的孩子，自己将永远无法把江绾从傅司宴身边赶走，于是用计让江绾流产。江绾在得知自己两个孩子一个重病，一个未出生便夭折之后，复仇的怒火已无法遏制。,"Jiang Wan, the eldest daughter of the Jiang family, bears a daughter—Fu Xingzhou—for Fu Siyan, president of the Fu Group. But at birth, the baby is stolen by her younger sister, Jiang Man—the Jiang family's adopted daughter—and raised as Jiang Man's child. To treat Fu Xingzhou's leukemia, Fu Siyan forces Jiang Wan to conceive a second child. Fearing that Jiang Wan might give birth to a healthy baby and thus become impossible to drive away from Fu Siyan, Jiang Man schemes to cause Jiang Wan to miscarry. After learning that one child is gravely ill and the other died before birth, Jiang Wan's desire for revenge can no longer be contained."
9ef099c0-59fa-4248-9445-52cd54755cca,倾世相恋,A Love That Topples Kingdoms
0c029ffb-8ec9-4858-bf7b-9b0b7b4b830a,女频,Female-Oriented
d8fce074-74d8-4e13-a126-72b27da0ee1c,苏沫璃为了抢夺王后之位，偷走了妹妹和太子的定情信物，和奸臣一起把妹妹苏念鱼害死，强迫其喝下毒酒，就在苏念鱼死的一瞬间，电闪雷鸣，一切都穿越回到了苏念鱼18岁那年，苏沫璃还是处处刁难，太子终于出手了，救下了苏念鱼，这一次苏念鱼要拿回属于自己的一切,"In order to seize the position of Queen, Su Moli steals the love token between her younger sister Su Nianyu and the Crown Prince, then conspires with a treacherous minister to have Su Nianyu killed, forcing her to drink poisoned wine. At the instant of Su Nianyu's death, lightning and thunder erupt, and everything rewinds to the year Su Nianyu turns eighteen. Su Moli continues to bully her at every turn, but the Crown Prince finally intervenes and saves Su Nianyu. This time, Su Nianyu will reclaim what is rightfully hers."
591299cc-fc14-45d2-bea7-2d2422440eb2,少爷的隐婚罪妻,"The Young Master's Secretly Married ""Criminal"" Wife"
33447081-b300-4fac-adfd-26eebd86afdb,女频,Female-Oriented
26363477-0348-4ebb-8dca-bb14ad8b64cd,一年前，已经怀孕的云海集团董事长楚云汐和顾氏集团公子顾瀚霖的婚礼上，顾家二公子顾翰熙拿出了顾瀚霖无法生育的体检报告，指责楚云汐怀上了别人的孩子，楚云汐的表妹梁枫玥更是拿出了楚云汐的艳照来煽风点火。顾瀚霖一怒之下，将楚云汐肚子里的孩子打流产，楚云汐也被气成了植物人。只有她的私人医生许州州依然悉心照料楚云汐，直到一年后楚云汐从昏迷中醒来，发誓要向诬陷她的人复仇。,"A year ago, at the wedding of pregnant Chu Yunxi—chairwoman of Yunhai Group—and Gu Hanlin, scion of the Gu Group, Gu Hanlin's younger brother Gu Hanxi produced a medical report claiming Gu Hanlin was infertile and accused Chu Yunxi of carrying another man's child. Chu Yunxi's cousin Liang Fengyue fanned the flames by producing explicit photos of Chu Yunxi. Enraged, Gu Hanlin forced Chu Yunxi to abort the baby, and she was so devastated that she fell into a vegetative state. Only her private physician, Xu Zhouzhou, continued to care for her. When Chu Yunxi finally awakens from her coma a year later, she swears to take revenge on those who framed her."
603c484e-4d9c-4f14-bbd3-ea35e60d233a,神王逆袭,The God King's Comeback
690639fe-97bc-420e-a41f-3352e31cd9f1,男频,Male-Oriented
3871d17e-1899-455e-89a3-c978a672ed1a,"凤澜被黑道大姐陈舒婷挟持，强行让凤澜做风俗行业。秦枫看出凤澜的困境，前来相救，神君萧千城赏识秦枫，收留了他与凤澜。可不久，秦枫遭到组织背叛，好不容易逃了出来，伤势过重晕了过去，被苏晚晴所救，可为了让苏晚晴不受牵连，他选择离开。五年后，他掌控大权，这次他来迎娶苏晚晴，却发现她正被家族刁难,他不再忍让。","Feng Lan is kidnapped by underworld queenpin Chen Shuting and forced into the sex trade. Qin Feng sees Feng Lan's predicament and comes to her rescue. The divine lord Xiao Qiancheng takes a liking to Qin Feng and takes him and Feng Lan in. But soon Qin Feng is betrayed by his organization. After a desperate escape, he collapses from severe injuries and is saved by Su Wanqing. To avoid implicating her, he chooses to leave. Five years later, he holds great power. When he returns to marry Su Wanqing, he finds her being oppressed by her family. This time, he refuses to endure it."
9975cbd2-0f24-4118-81af-f8cf2b36f21e,盛总 夫人回来要诛心,President Sheng: The Madam Has Returned for Heart-Piercing Retribution
0692aa0b-452d-4a55-a274-7db70f333005,女频,Female-Oriented
92670afd-e451-402d-877e-6b39993e6481,宁浅浅，一个曾被爱包围的女子，她的生活原本充满了幸福和希望。然而，当她爱上盛景澜，一切美好瞬间化为泡影。在这段关系中，宁浅浅不仅被迫流产，失去了未出生的孩子，还经历了家破人亡的悲剧。这一切的打击让她痛不欲生，仿佛整个世界都陷入了黑暗。在绝望中，宁浅浅选择了最极端的方式——烈火焚身，以假死的方式逃离了这个充满了痛苦的世界。她的身体在火中化为灰烬，但她的意志并未随之消散。在死亡的边缘，宁浅浅重新找回了自己的意志和力量，她决定重生归来，誓要为自己和未出生的孩子讨回公道。,"Ning Qianqian was once a woman surrounded by love, her life full of happiness and hope. But when she fell for Sheng Jinglan, all beauty shattered in an instant. In that relationship, she was not only forced to miscarry and lose her unborn child, but also suffered the tragedy of her family falling apart and loved ones dying. The blows left her in unbearable agony, as if the whole world had plunged into darkness. In despair, Ning Qianqian chose the most extreme way out—immolating herself in raging flames and escaping through a staged death from a world steeped in pain. Her body turned to ash, but her will did not fade. On the brink of death, she reclaimed her resolve and strength. She decides to return reborn, vowing to seek justice for herself and her unborn child."
05c17b45-20bb-4e9a-b7e3-8fc09b901907,史上最强状元郎,The Strongest Top Scholar in History
3665629d-2e5c-4689-baef-2ce940fb0122,男频,Male-Oriented
a73bf844-6c95-4e59-9408-fa8c26b898b4,男主在宾馆与女友亲热时，被雷劈中，化身为魏辰，身处古代天子殿。魏辰是魏府老爷酒醉后和婢女许晴生下的儿子，受尽凌辱，但高中状元。皇后为扶其侄子登状元之位，污蔑魏辰抄袭，下令将魏辰斩首。,"While getting intimate with his girlfriend in a hotel, the male lead is struck by lightning and transforms into Wei Chen, finding himself in the imperial palace of an ancient dynasty. Wei Chen is the son born to the Wei household's master after a drunken night with the maid Xu Qing. He suffers endless humiliation, yet later places first in the imperial examinations. To secure the top scholar title for her nephew, the Empress frames Wei Chen for plagiarism and orders him beheaded."
82dedda3-3119-4c51-957d-853697162fc7,特工凤凰,Agent Phoenix
17c3d524-04bb-4aa7-b897-2f755fce54c3,女频,Female-Oriented
4a335abc-e480-4bce-89db-17fd1f994ba6,三年前，翟灵在网上闺蜜的引诱下，带着亲生妹妹翟曼云前往了诈骗者的天堂北三角。姐妹二人被当地诈骗团伙头目野狼双双逮捕，抓到园区后才发现，被骗的不止她们两个，连她们失踪的父母，也被囚禁于此。野狼用父母的命胁迫姐妹两服从，最后却出尔反尔，让翟父翟母变成了尸体。翟家姐妹就此被卖到了北三角地头蛇沈天年的地盘，在那里，翟灵遇到了改变一生的贵人。,"Three years ago, lured by an online ""bestie,"" Zhai Ling took her biological younger sister Zhai Manyun to the scammers' paradise known as the Northern Triangle. Both sisters were captured by the local fraud ring leader, Wild Wolf. Only after being taken to the compound did they realize they were not the only victims: even their missing parents had been imprisoned there. Wild Wolf used their parents' lives to force the sisters into obedience, only to go back on his word and have Mr. and Mrs. Zhai killed. The Zhai sisters were then sold to the territory of Shen Tiannian, a local kingpin in the Northern Triangle, where Zhai Ling met the benefactor who would change her life forever."
